Initial temperature;Pressure;Fi;Autoignition time;Final temperature
;;;;
1300.0;;;;
;;;;
;101325.0;;;
;;;;
;;0.4;7.145500000000624;2312.9222620970786
;;;;
;;0.7000000000000001;9.288499999999626;2689.6968635491453
;;;;
;;1.0;11.073499999998317;2849.2577137946173
;;;;
;;1.3000000000000003;12.640499999997164;2879.7286853140263
;;;;
;;1.6;14.073499999996113;2807.766479655451
;;;;
;;1.9;15.42549999999512;2676.262978660231
;;;;
;;2.2;16.728499999996075;2523.814652270735
;;;;
;;2.5;18.00249999999735;2365.4660797872707
;;;;
;;2.8000000000000003;19.259499999998607;2206.6924370682013
;;;;
;;3.1;20.51049999999986;2052.411198799404
;;;;
;123841.0;;;
;;;;
;;0.4;6.0905000000004845;2314.7831979722237
;;;;
;;0.7000000000000001;7.911500000000641;2701.231726617888
;;;;
;;1.0;9.426499999999525;2865.768099702484
;;;;
;;1.3000000000000003;10.75449999999855;2896.007592236983
;;;;
;;1.6;11.970499999997656;2820.0468403304526
;;;;
;;1.9;13.117499999996816;2684.456240493041
;;;;
;;2.2;14.224499999996;2528.920258358626
;;;;
;;2.5;15.306499999995205;2368.3598521855783
;;;;
;;2.8000000000000003;16.376499999995723;2208.167236974918
;;;;
;;3.1;17.44149999999679;2052.6872732619877
;;;;
;146358.0;;;
;;;;
;;0.4;5.320500000000382;2316.3371525608673
;;;;
;;0.7000000000000001;6.904500000000592;2710.6734687491467
;;;;
;;1.0;8.220500000000412;2879.4510334146366
;;;;
;;1.3000000000000003;9.375499999999565;2909.4158590571724
;;;;
;;1.6;10.432499999998786;2829.9907412537336
;;;;
;;1.9;11.430499999998053;2690.9899358979005
;;;;
;;2.2;12.394499999997345;2532.937062230424
;;;;
;;2.5;13.337499999996654;2370.6086818010426
;;;;
;;2.8000000000000003;14.270499999995966;2209.30033204011
;;;;
;;3.1;15.199499999995286;2052.9387480035098
;;;;
;168875.0;;;
;;;;
;;0.4;4.731500000000303;2317.675328852805
;;;;
;;0.7000000000000001;6.13250000000049;2718.640459728282
;;;;
;;1.0;7.296500000000645;2891.1230108081063
;;;;
;;1.3000000000000003;8.317500000000342;2920.7888348939987
;;;;
;;1.6;9.253499999999654;2838.2995649444492
;;;;
;;1.9;10.138499999999002;2696.3786305565445
;;;;
;;2.2;10.993499999998376;2536.21277103124
;;;;
;;2.5;11.830499999997759;2372.424431772949
;;;;
;;2.8000000000000003;12.65849999999715;2210.2072798018803
;;;;
;;3.1;13.483499999996546;2053.1647121169594
;;;;
;191391.0;;;
;;;;
;;0.4;4.264500000000242;2318.8505299771577
;;;;
;;0.7000000000000001;5.5195000000004075;2725.514214945253
;;;;
;;1.0;6.562500000000547;2901.291819491065
;;;;
;;1.3000000000000003;7.478500000000668;2930.6449439599187
;;;;
;;1.6;8.31950000000034;2845.4040101033956
;;;;
;;1.9;9.114499999999754;2700.934281181883
;;;;
;;2.2;9.88249999999919;2538.95548384423
;;;;
;;2.5;10.63549999999864;2373.932122224606
;;;;
;;2.8000000000000003;11.38049999999809;2210.9551918158395
;;;;
;;3.1;12.123499999997547;2053.367660770161
;;;;
;213908.0;;;
;;;;
;;0.4;3.884500000000191;2319.896895301031
;;;;
;;0.7000000000000001;5.019500000000342;2731.5471261489047
;;;;
;;1.0;5.965500000000467;2910.2958889686483
;;;;
;;1.3000000000000003;6.796500000000578;2939.328953575917
;;;;
;;1.6;7.558500000000679;2851.5876416057545
;;;;
;;1.9;8.280500000000368;2704.859908172938
;;;;
;;2.2;8.978499999999855;2541.299102111055
;;;;
;;2.5;9.663499999999352;2375.2112713327797
;;;;
;;2.8000000000000003;10.341499999998856;2211.5862067817397
;;;;
